ingredient,lactose_content
Butter,0.75
Buttermilk,4
Gouda,1
Gruyere,0.5
Mozzarella,2
Parmesan,0.5
Ricotta,3
Coffee creamer,45
Ice cream,5.5
Milk Chocolate,4
Milk condensed,13
Milk low fat,4.5
Milk whole fat,4.5
Milk powder,44
Whey,57
Yoghurt low fat,4.5
Yoghurt whole milk,4
